,token,scene_token,timestamp,prev_sample_token
0,1,,2023-09-29 12:39:23.880432,
1,2,,2023-09-29 12:39:23.974082,1.0
2,3,,2023-09-29 12:39:24.077208,2.0
3,4,,2023-09-29 12:39:24.179237,3.0
4,5,32.0,2023-09-29 12:39:24.274652,4.0
5,6,32.0,2023-09-29 12:39:24.379830,5.0
6,7,32.0,2023-09-29 12:39:24.470987,6.0
7,8,32.0,2023-09-29 12:39:24.574732,7.0
8,9,32.0,2023-09-29 12:39:24.678715,8.0
9,10,32.0,2023-09-29 12:39:24.773292,9.0
10,11,32.0,2023-09-29 12:39:24.877162,10.0
11,12,32.0,2023-09-29 12:39:24.973895,11.0
12,13,32.0,2023-09-29 12:39:25.074560,12.0
13,14,,2023-09-29 12:39:25.184461,13.0
14,15,32.0,2023-09-29 12:39:25.271239,14.0
15,16,32.0,2023-09-29 12:39:25.373070,15.0
16,17,32.0,2023-09-29 12:39:25.477252,16.0
17,18,32.0,2023-09-29 12:39:25.573403,17.0
18,19,,2023-09-29 12:39:25.673697,18.0
19,20,,2023-09-29 12:39:25.770470,19.0
20,21,,2023-09-29 12:39:25.874036,20.0
21,22,32.0,2023-09-29 12:39:25.975688,21.0
22,23,32.0,2023-09-29 12:39:26.070837,22.0
23,24,32.0,2023-09-29 12:39:26.177123,23.0
24,25,32.0,2023-09-29 12:39:26.278944,24.0
25,26,32.0,2023-09-29 12:39:26.373646,25.0
26,27,32.0,2023-09-29 12:39:26.478640,26.0
27,28,32.0,2023-09-29 12:39:26.571848,27.0
28,29,32.0,2023-09-29 12:39:26.675084,28.0
29,30,,2023-09-29 12:39:26.779073,29.0
30,31,32.0,2023-09-29 12:39:26.872406,30.0
31,32,32.0,2023-09-29 12:39:26.977822,31.0
32,33,32.0,2023-09-29 12:39:27.070932,32.0
33,34,32.0,2023-09-29 12:39:27.178731,33.0
34,35,,2023-09-29 12:39:27.279986,34.0
35,36,32.0,2023-09-29 12:39:27.371076,35.0
36,37,32.0,2023-09-29 12:39:27.475684,36.0
37,38,,2023-09-29 12:39:27.582143,37.0
38,39,,2023-09-29 12:39:27.677077,38.0
39,40,,2023-09-29 12:39:27.777385,39.0
40,41,,2023-09-29 12:39:27.870940,40.0
41,42,,2023-09-29 12:39:27.975177,41.0
42,43,,2023-09-29 12:39:28.078277,42.0
43,44,,2023-09-29 12:39:28.170348,43.0
44,45,,2023-09-29 12:39:28.277826,44.0
45,46,,2023-09-29 12:39:28.370916,45.0
46,47,,2023-09-29 12:39:28.472594,46.0
47,48,,2023-09-29 12:39:28.575821,47.0
48,49,32.0,2023-09-29 12:39:28.672343,48.0
49,50,,2023-09-29 12:39:28.774700,49.0
50,51,,2023-09-29 13:18:35.557388,50.0
51,52,,2023-09-29 13:18:35.557388,51.0
52,53,,2023-09-29 13:18:35.652501,52.0
53,54,,2023-09-29 13:18:35.751567,53.0
54,55,,2023-09-29 13:18:35.856422,54.0
55,56,,2023-09-29 13:18:35.965986,55.0
56,57,,2023-09-29 13:18:36.052660,56.0
57,58,,2023-09-29 13:18:36.150544,57.0
58,59,,2023-09-29 13:18:36.256346,58.0
59,60,,2023-09-29 13:18:36.360740,59.0
60,61,,2023-09-29 13:18:36.450666,60.0
61,62,,2023-09-29 13:18:36.550081,61.0
62,63,,2023-09-29 13:18:36.655500,62.0
63,64,,2023-09-29 13:18:36.753077,63.0
64,65,,2023-09-29 13:18:36.846365,64.0
65,66,47.0,2023-09-29 13:18:36.948885,65.0
66,67,,2023-09-29 13:18:37.051769,66.0
67,68,,2023-09-29 13:18:37.162501,67.0
68,69,,2023-09-29 13:18:37.248254,68.0
69,70,,2023-09-29 13:18:37.354137,69.0
70,71,,2023-09-29 13:18:37.458243,70.0
71,72,,2023-09-29 13:18:37.557971,71.0
72,73,,2023-09-29 13:18:37.646733,72.0
73,74,,2023-09-29 13:18:37.754638,73.0
74,75,,2023-09-29 13:18:37.852457,74.0
75,76,,2023-09-29 13:18:37.953738,75.0
76,77,,2023-09-29 13:18:38.048113,76.0
77,78,,2023-09-29 13:18:38.150485,77.0
78,79,,2023-09-29 13:18:38.254405,78.0
79,80,,2023-09-29 13:18:38.353878,79.0
80,81,47.0,2023-09-29 13:18:38.457322,80.0
81,82,47.0,2023-09-29 13:18:38.550563,81.0
82,83,,2023-09-29 13:18:38.651801,82.0
83,84,,2023-09-29 13:18:38.753445,83.0
84,85,,2023-09-29 13:18:38.854810,84.0
85,86,,2023-09-29 13:18:38.949251,85.0
86,87,,2023-09-29 13:18:39.050121,86.0
87,88,47.0,2023-09-29 13:18:39.151246,87.0
88,89,,2023-09-29 13:18:39.261154,88.0
89,90,,2023-09-29 13:18:39.348981,89.0
90,91,,2023-09-29 13:18:39.451028,90.0
91,92,,2023-09-29 13:18:39.551566,91.0
92,93,,2023-09-29 13:18:39.654684,92.0
93,94,,2023-09-29 13:18:39.748133,93.0
94,95,,2023-09-29 13:18:39.848466,94.0
95,96,,2023-09-29 13:18:39.951180,95.0
96,97,,2023-09-29 13:18:40.056198,96.0
97,98,,2023-09-29 13:18:40.142589,97.0
98,99,,2023-09-29 13:18:40.250761,98.0
99,100,,2023-09-29 13:18:40.352149,99.0
100,101,,2023-09-29 13:18:40.457518,100.0
101,102,,2023-09-29 13:18:40.546897,101.0
102,103,,2023-09-29 13:18:40.647271,102.0
103,104,,2023-09-29 13:18:40.749368,103.0
104,105,,2023-09-29 13:18:40.851814,104.0
105,106,,2023-09-29 13:18:40.949235,105.0
106,107,,2023-09-29 13:18:41.050973,106.0
107,108,,2023-09-29 13:18:41.150661,107.0
108,109,47.0,2023-09-29 13:18:41.255007,108.0
109,110,,2023-09-29 13:18:41.347036,109.0
110,111,,2023-09-29 13:18:41.448314,110.0
111,112,,2023-09-29 13:18:41.549462,111.0
112,113,,2023-09-29 13:18:41.651639,112.0
113,114,,2023-09-29 13:18:41.743239,113.0
114,115,,2023-09-29 13:18:41.851694,114.0
115,116,,2023-09-29 13:18:41.953568,115.0
116,117,,2023-09-29 13:18:42.051908,116.0
117,118,,2023-09-29 13:18:42.156607,117.0
118,119,,2023-09-29 14:40:52.073390,118.0
119,120,,2023-09-29 14:40:52.073390,119.0
120,121,,2023-09-29 14:40:52.168388,120.0
121,122,,2023-09-29 14:40:52.269321,121.0
122,123,,2023-09-29 14:40:52.372197,122.0
123,124,,2023-09-29 14:40:52.473860,123.0
124,125,,2023-09-29 14:40:52.565911,124.0
125,126,,2023-09-29 14:40:52.666079,125.0
126,127,,2023-09-29 14:40:52.767006,126.0
127,128,,2023-09-29 14:40:52.867498,127.0
128,129,,2023-09-29 14:40:52.970112,128.0
129,130,,2023-09-29 14:40:53.072971,129.0
130,131,,2023-09-29 14:40:53.169819,130.0
131,132,,2023-09-29 14:40:53.269364,131.0
132,133,,2023-09-29 14:40:53.371140,132.0
133,134,,2023-09-29 14:40:53.469760,133.0
134,135,,2023-09-29 14:40:53.571157,134.0
135,136,,2023-09-29 14:40:53.670604,135.0
136,137,,2023-09-29 14:40:53.772693,136.0
137,138,,2023-09-29 14:40:53.872361,137.0
138,139,,2023-09-29 14:40:53.970570,138.0
139,140,,2023-09-29 14:40:54.071549,139.0
140,141,,2023-09-29 14:40:54.169968,140.0
141,142,,2023-09-29 14:40:54.271031,141.0
142,143,,2023-09-29 14:40:54.366498,142.0
143,144,,2023-09-29 14:40:54.473478,143.0
144,145,,2023-09-29 14:40:54.568527,144.0
145,146,,2023-09-29 14:40:54.671328,145.0
146,147,,2023-09-29 14:40:54.768504,146.0
147,148,,2023-09-29 14:40:54.867241,147.0
148,149,,2023-09-29 14:40:54.967027,148.0
149,150,,2023-09-29 14:40:55.066800,149.0
150,151,,2023-09-29 14:40:55.170061,150.0
151,152,,2023-09-29 14:40:55.269273,151.0
152,153,,2023-09-29 14:40:55.365549,152.0
153,154,,2023-09-29 14:40:55.468239,153.0
154,155,,2023-09-29 14:40:55.577092,154.0
155,156,,2023-09-29 14:40:55.679644,155.0
156,157,,2023-09-29 14:40:55.777830,156.0
157,158,,2023-09-29 14:40:55.875044,157.0
158,159,,2023-09-29 14:40:55.976049,158.0
159,160,,2023-09-29 14:40:56.077152,159.0
160,161,,2023-09-29 14:40:56.176268,160.0
161,162,,2023-09-29 14:40:56.278248,161.0
162,163,,2023-09-29 14:40:56.365937,162.0
163,164,,2023-09-29 14:40:56.474503,163.0
164,165,,2023-09-29 14:40:56.574561,164.0
165,166,,2023-09-29 14:40:56.675448,165.0
166,167,,2023-09-29 14:40:56.777655,166.0
167,168,,2023-09-29 14:40:56.878650,167.0
168,169,,2023-09-29 14:40:56.976991,168.0
169,170,,2023-09-29 14:40:57.077833,169.0
170,171,,2023-09-29 14:40:57.174816,170.0
171,172,,2023-09-29 14:40:57.275479,171.0
172,173,,2023-09-29 14:40:57.373910,172.0
173,174,,2023-09-29 14:40:57.473588,173.0
174,175,,2023-09-29 14:40:57.574692,174.0
175,176,,2023-09-29 14:40:57.674807,175.0
176,177,,2023-09-29 14:40:57.772804,176.0
177,178,,2023-09-29 14:40:57.877768,177.0
178,179,,2023-09-29 14:40:57.970933,178.0
179,180,,2023-09-29 14:40:58.070487,179.0
180,181,,2023-09-29 14:40:58.170688,180.0
181,182,,2023-09-29 14:40:58.272989,181.0
182,183,,2023-09-29 14:40:58.374693,182.0
183,184,,2023-09-29 14:40:58.471269,183.0
184,185,,2023-09-29 14:40:58.576574,184.0
185,186,,2023-09-29 14:40:58.677709,185.0
186,187,,2023-09-29 14:40:58.770745,186.0
187,188,,2023-09-29 14:40:58.880451,187.0
188,189,,2023-09-29 14:40:58.969078,188.0
189,190,,2023-09-29 14:40:59.069503,189.0
190,191,,2023-09-29 14:40:59.166976,190.0
191,192,,2023-09-29 14:40:59.275532,191.0
192,193,,2023-09-29 14:40:59.371133,192.0
193,194,,2023-09-29 14:40:59.468796,193.0
194,195,,2023-09-29 14:40:59.572114,194.0
195,196,,2023-09-29 14:40:59.672978,195.0
196,197,,2023-09-29 14:40:59.771884,196.0
197,198,,2023-09-29 14:40:59.870683,197.0
198,199,,2023-09-29 14:40:59.973509,198.0
199,200,,2023-09-29 14:41:00.074921,199.0
